,Brier Score
task_1,0.9959276902719729
task_2,0.9706177906590312
task_3,0.8333333333333335
task_4,0.8004787145464132
task_5,0.7419248112930104
task_6,0.6373865722759692
task_7,0.7968372539873712
task_8,0.8333333333333335
